Iteration;current;opt;gap
1;20641;7496;175.36
2;18998;7496;153.442
3;17886;7496;138.607
4;17078;7496;127.828
5;16334;7496;117.903
6;15595;7496;108.044
7;14875;7496;98.4392
8;14285;7496;90.5683
9;13773;7496;83.738
10;13299;7496;77.4146
11;12866;7496;71.6382
12;12441;7496;65.9685
13;12086;7496;61.2327
14;11741;7496;56.6302
15;11224;7496;49.7332
16;10905;7496;45.4776
17;10683;7496;42.516
18;10469;7496;39.6612
19;10197;7496;36.0326
20;9932;7496;32.4973
21;9737;7496;29.8959
22;9557;7496;27.4947
23;9338;7496;24.5731
24;9191;7496;22.6121
25;9054;7496;20.7844
26;8934;7496;19.1836
27;8839;7496;17.9162
28;8777;7496;17.0891
29;8678;7496;15.7684
30;8633;7496;15.1681
31;8595;7496;14.6612
32;8567;7496;14.2876
33;8492;7496;13.2871
