Iteration;current;opt;gap
1;27887;7496;272.025
2;27046;7496;260.806
3;27587;7496;268.023
4;29386;7496;292.022
5;26829;7496;257.911
6;29302;7496;290.902
7;25688;7496;242.689
8;29735;7496;296.678
9;25644;7496;242.102
10;26139;7496;248.706
11;29764;7496;297.065
12;27907;7496;272.292
13;30917;7496;312.447
14;28711;7496;283.018
15;27148;7496;262.167
16;26640;7496;255.39
17;25957;7496;246.278
18;27286;7496;264.007
19;24250;7496;223.506
20;29436;7496;292.689
21;26758;7496;256.964
22;26548;7496;254.162
23;25471;7496;239.795
24;26693;7496;256.097
25;27455;7496;266.262
26;26371;7496;251.801
27;25783;7496;243.957
28;24929;7496;232.564
29;27150;7496;262.193
30;26055;7496;247.585
31;29437;7496;292.703
32;23174;7496;209.152
33;25903;7496;245.558
34;26945;7496;259.458
35;31321;7496;317.836
36;23694;7496;216.089
37;22916;7496;205.71
38;23915;7496;219.037
39;26692;7496;256.083
40;25507;7496;240.275
41;22543;7496;200.734
42;26299;7496;250.84
43;24772;7496;230.47
44;26194;7496;249.44
45;21967;7496;193.05
46;23229;7496;209.885
47;26455;7496;252.922
48;27612;7496;268.356
49;22994;7496;206.75
50;26546;7496;254.136
51;28040;7496;274.066
52;25744;7496;243.437
53;21946;7496;192.769
54;23529;7496;213.887
55;24884;7496;231.964
56;26027;7496;247.212
57;22169;7496;195.744
58;21978;7496;193.196
59;23385;7496;211.966
60;27958;7496;272.972
61;26178;7496;249.226
62;23422;7496;212.46
63;23819;7496;217.756
64;21850;7496;191.489
65;24889;7496;232.03
66;25077;7496;234.538
67;23332;7496;211.259
68;23677;7496;215.862
69;25589;7496;241.369
70;27613;7496;268.37
71;22603;7496;201.534
72;26056;7496;247.599
73;24368;7496;225.08
74;24538;7496;227.348
75;21594;7496;188.074
76;23367;7496;211.726
77;24358;7496;224.947
78;22572;7496;201.121
79;24821;7496;231.123
80;21604;7496;188.207
81;23025;7496;207.164
82;22365;7496;198.359
83;23235;7496;209.965
84;22899;7496;205.483
85;21951;7496;192.836
86;22737;7496;203.322
87;22641;7496;202.041
88;22269;7496;197.078
89;22330;7496;197.892
90;24246;7496;223.452
91;21054;7496;180.87
92;22219;7496;196.411
93;22382;7496;198.586
94;19654;7496;162.193
95;23599;7496;214.821
96;21862;7496;191.649
97;21453;7496;186.193
98;23638;7496;215.342
99;22632;7496;201.921
100;25148;7496;235.486
101;23287;7496;210.659
102;24176;7496;222.519
103;20487;7496;173.306
104;19506;7496;160.219
105;23361;7496;211.646
106;20480;7496;173.212
107;22331;7496;197.906
108;19234;7496;156.59
109;20250;7496;170.144
110;21558;7496;187.593
111;18641;7496;148.679
112;19345;7496;158.071
113;19960;7496;166.275
114;17923;7496;139.101
115;16964;7496;126.307
116;18766;7496;150.347
117;22133;7496;195.264
118;22339;7496;198.012
119;20803;7496;177.521
120;20949;7496;179.469
121;22494;7496;200.08
122;19197;7496;156.097
123;17433;7496;132.564
124;21958;7496;192.93
125;19920;7496;165.742
126;19337;7496;157.964
127;19674;7496;162.46
128;19100;7496;154.803
129;20533;7496;173.919
130;20171;7496;169.09
131;18609;7496;148.252
132;17914;7496;138.981
133;18235;7496;143.263
134;21317;7496;184.378
135;17924;7496;139.114
136;18570;7496;147.732
137;16853;7496;124.827
138;18132;7496;141.889
139;16340;7496;117.983
140;21188;7496;182.657
141;16498;7496;120.091
142;16296;7496;117.396
143;16435;7496;119.25
144;17340;7496;131.323
145;16860;7496;124.92
146;15592;7496;108.004
147;14623;7496;95.0774
148;20595;7496;174.747
149;19418;7496;159.045
150;18542;7496;147.359
151;15135;7496;101.908
152;17472;7496;133.084
153;15877;7496;111.806
154;15505;7496;106.844
155;16290;7496;117.316
156;17836;7496;137.94
157;17112;7496;128.282
158;16652;7496;122.145
159;16806;7496;124.2
160;16440;7496;119.317
161;14650;7496;95.4376
162;18359;7496;144.917
163;14875;7496;98.4392
164;16251;7496;116.796
165;15750;7496;110.112
166;17194;7496;129.376
167;18007;7496;140.221
168;16333;7496;117.89
169;16783;7496;123.893
170;15990;7496;113.314
171;15839;7496;111.299
172;16868;7496;125.027
173;15859;7496;111.566
174;17189;7496;129.309
175;16927;7496;125.814
176;17338;7496;131.297
177;15216;7496;102.988
178;16851;7496;124.8
179;12980;7496;73.159
180;14025;7496;87.0998
181;14450;7496;92.7695
182;14775;7496;97.1051
183;14377;7496;91.7956
184;14907;7496;98.8661
185;14970;7496;99.7065
186;15416;7496;105.656
187;13787;7496;83.9248
188;14380;7496;91.8356
189;15142;7496;102.001
190;12538;7496;67.2625
191;14693;7496;96.0112
192;14599;7496;94.7572
193;12757;7496;70.1841
194;15927;7496;112.473
195;14891;7496;98.6526
196;15098;7496;101.414
197;14617;7496;94.9973
198;14280;7496;90.5016
199;14836;7496;97.9189
200;13443;7496;79.3356
201;13075;7496;74.4264
202;13504;7496;80.1494
203;12524;7496;67.0758
204;12154;7496;62.1398
205;12146;7496;62.0331
206;13527;7496;80.4562
207;13163;7496;75.6003
208;14018;7496;87.0064
209;14672;7496;95.7311
210;14027;7496;87.1265
211;11800;7496;57.4173
212;13681;7496;82.5107
213;13158;7496;75.5336
214;12039;7496;60.6057
215;13355;7496;78.1617
216;13119;7496;75.0133
217;13180;7496;75.8271
218;12634;7496;68.5432
219;11759;7496;56.8703
220;13027;7496;73.786
221;13164;7496;75.6137
222;11776;7496;57.0971
223;12577;7496;67.7828
224;11392;7496;51.9744
225;12087;7496;61.246
226;11818;7496;57.6574
227;11787;7496;57.2439
228;11827;7496;57.7775
229;12121;7496;61.6996
230;11876;7496;58.4312
231;12090;7496;61.286
232;12123;7496;61.7263
233;12170;7496;62.3533
234;11788;7496;57.2572
235;10975;7496;46.4114
236;10604;7496;41.4621
237;11363;7496;51.5875
238;12557;7496;67.516
239;11989;7496;59.9386
240;11801;7496;57.4306
241;11180;7496;49.1462
242;11958;7496;59.5251
243;10614;7496;41.5955
244;10633;7496;41.849
245;10939;7496;45.9312
246;10948;7496;46.0512
247;11144;7496;48.666
248;10772;7496;43.7033
249;10182;7496;35.8324
250;10002;7496;33.4312
251;10298;7496;37.3799
252;10862;7496;44.9039
253;9331;7496;24.4797
254;10431;7496;39.1542
255;10320;7496;37.6734
256;11146;7496;48.6926
257;11892;7496;58.6446
258;11121;7496;48.3591
259;11117;7496;48.3058
260;10679;7496;42.4626
261;9500;7496;26.7343
262;9631;7496;28.4819
263;10064;7496;34.2583
264;9836;7496;31.2166
265;10422;7496;39.0342
266;10392;7496;38.6339
267;10407;7496;38.834
268;10093;7496;34.6451
269;10246;7496;36.6862
270;9749;7496;30.056
271;10407;7496;38.834
272;9919;7496;32.3239
273;9554;7496;27.4546
274;9888;7496;31.9104
275;9942;7496;32.6307
276;9635;7496;28.5352
277;8859;7496;18.183
278;9380;7496;25.1334
279;10008;7496;33.5112
280;10594;7496;41.3287
281;9953;7496;32.7775
282;9485;7496;26.5342
283;9796;7496;30.683
284;9831;7496;31.1499
285;10025;7496;33.738
286;9613;7496;28.2417
287;9936;7496;32.5507
288;9750;7496;30.0694
289;8940;7496;19.2636
290;9413;7496;25.5736
291;9249;7496;23.3858
292;9200;7496;22.7321
293;9085;7496;21.198
294;8976;7496;19.7439
295;9155;7496;22.1318
296;8810;7496;17.5293
297;8866;7496;18.2764
298;9126;7496;21.7449
299;8808;7496;17.5027
300;9009;7496;20.1841
301;9083;7496;21.1713
302;8660;7496;15.5283
303;8847;7496;18.0229
304;8767;7496;16.9557
305;9021;7496;20.3442
306;8861;7496;18.2097
307;9303;7496;24.1062
308;9123;7496;21.7049
309;8652;7496;15.4216
310;8949;7496;19.3837
311;8606;7496;14.8079
312;8425;7496;12.3933
313;8365;7496;11.5928
314;8468;7496;12.9669
315;8205;7496;9.45838
316;8145;7496;8.65795
317;8248;7496;10.032
318;8026;7496;7.07044
319;8176;7496;9.0715
320;8255;7496;10.1254
321;8524;7496;13.714
322;8314;7496;10.9125
323;8273;7496;10.3655
324;8279;7496;10.4456
325;8233;7496;9.83191
326;8037;7496;7.21718
327;8366;7496;11.6062
328;7983;7496;6.4968
329;8091;7496;7.93757
330;8134;7496;8.51121
331;7906;7496;5.46958
332;7734;7496;3.17503
333;7937;7496;5.88314
334;7889;7496;5.2428
335;8168;7496;8.96478
336;8148;7496;8.69797
337;7980;7496;6.45678
338;7982;7496;6.48346
339;7979;7496;6.44344
340;8099;7496;8.04429
341;8039;7496;7.24386
342;7972;7496;6.35005
343;7848;7496;4.69584
344;7940;7496;5.92316
345;7692;7496;2.61473
346;7723;7496;3.02828
347;7785;7496;3.85539
348;8011;7496;6.87033
349;7961;7496;6.20331
350;7946;7496;6.0032
351;7835;7496;4.52241
352;7871;7496;5.00267
353;7832;7496;4.48239
354;7626;7496;1.73426
355;7762;7496;3.54856
356;7822;7496;4.34899
357;7897;7496;5.34952
358;7725;7496;3.05496
359;7864;7496;4.90928
360;7663;7496;2.22785
361;7812;7496;4.21558
362;7759;7496;3.50854
363;7773;7496;3.6953
364;7774;7496;3.70864
365;7690;7496;2.58805
366;7778;7496;3.76201
367;7639;7496;1.90768
368;7587;7496;1.21398
369;7610;7496;1.52081
370;7718;7496;2.96158
371;7808;7496;4.16222
372;7848;7496;4.69584
373;7932;7496;5.81644
374;8010;7496;6.85699
375;7911;7496;5.53629
376;7837;7496;4.54909
377;7875;7496;5.05603
378;7727;7496;3.08164
379;7876;7496;5.06937
380;7917;7496;5.61633
381;7869;7496;4.97599
382;7983;7496;6.4968
383;7894;7496;5.3095
384;7960;7496;6.18997
385;7694;7496;2.64141
386;7679;7496;2.4413
387;7605;7496;1.45411
388;7656;7496;2.13447
389;7656;7496;2.13447
390;7690;7496;2.58805
391;7682;7496;2.48132
392;7766;7496;3.60192
393;7849;7496;4.70918
394;7813;7496;4.22892
395;7870;7496;4.98933
396;7885;7496;5.18943
397;7926;7496;5.73639
398;7749;7496;3.37513
399;7742;7496;3.28175
400;7685;7496;2.52134
401;7686;7496;2.53469
402;7613;7496;1.56083
403;7613;7496;1.56083
404;7605;7496;1.45411
405;7646;7496;2.00107
406;7643;7496;1.96105
407;7654;7496;2.10779
408;7620;7496;1.65422
409;7685;7496;2.52134
410;7746;7496;3.33511
411;7669;7496;2.3079
412;7663;7496;2.22785
413;7620;7496;1.65422
414;7565;7496;0.920491
415;7565;7496;0.920491
416;7605;7496;1.45411
417;7651;7496;2.06777
418;7639;7496;1.90768
419;7647;7496;2.01441
420;7648;7496;2.02775
421;7630;7496;1.78762
422;7702;7496;2.74813
423;7658;7496;2.16115
424;7566;7496;0.933831
425;7565;7496;0.920491
426;7566;7496;0.933831
427;7571;7496;1.00053
428;7644;7496;1.97439
429;7613;7496;1.56083
430;7627;7496;1.7476
431;7595;7496;1.3207
432;7631;7496;1.80096
433;7631;7496;1.80096
434;7566;7496;0.933831
435;7547;7496;0.680363
436;7574;7496;1.04056
437;7574;7496;1.04056
438;7610;7496;1.52081
439;7575;7496;1.0539
440;7591;7496;1.26734
441;7591;7496;1.26734
442;7586;7496;1.20064
443;7670;7496;2.32124
444;7616;7496;1.60085
445;7616;7496;1.60085
446;7616;7496;1.60085
447;7579;7496;1.10726
448;7601;7496;1.40075
449;7602;7496;1.41409
450;7594;7496;1.30736
451;7594;7496;1.30736
452;7548;7496;0.693703
453;7548;7496;0.693703
454;7548;7496;0.693703
455;7547;7496;0.680363
456;7547;7496;0.680363
457;7542;7496;0.613661
458;7553;7496;0.760406
459;7542;7496;0.613661
460;7547;7496;0.680363
461;7547;7496;0.680363
462;7547;7496;0.680363
463;7578;7496;1.09392
464;7614;7496;1.57417
465;7583;7496;1.16062
466;7548;7496;0.693703
467;7559;7496;0.840448
468;7543;7496;0.627001
469;7543;7496;0.627001
470;7583;7496;1.16062
471;7616;7496;1.60085
472;7624;7496;1.70758
473;7621;7496;1.66756
474;7625;7496;1.72092
475;7617;7496;1.61419
476;7635;7496;1.85432
477;7572;7496;1.01387
478;7571;7496;1.00053
479;7566;7496;0.933831
480;7565;7496;0.920491
481;7565;7496;0.920491
482;7571;7496;1.00053
483;7571;7496;1.00053
484;7570;7496;0.987193
485;7570;7496;0.987193
486;7571;7496;1.00053
487;7574;7496;1.04056
488;7542;7496;0.613661
489;7542;7496;0.613661
490;7542;7496;0.613661
491;7542;7496;0.613661
492;7542;7496;0.613661
493;7542;7496;0.613661
494;7542;7496;0.613661
495;7553;7496;0.760406
496;7558;7496;0.827108
497;7543;7496;0.627001
498;7542;7496;0.613661
499;7542;7496;0.613661
500;7547;7496;0.680363
501;7547;7496;0.680363
502;7542;7496;0.613661
503;7548;7496;0.693703
504;7548;7496;0.693703
505;7572;7496;1.01387
506;7572;7496;1.01387
507;7572;7496;1.01387
508;7572;7496;1.01387
509;7572;7496;1.01387
510;7575;7496;1.0539
511;7569;7496;0.973853
512;7575;7496;1.0539
513;7570;7496;0.987193
514;7570;7496;0.987193
515;7570;7496;0.987193
516;7575;7496;1.0539
517;7548;7496;0.693703
518;7547;7496;0.680363
519;7542;7496;0.613661
520;7542;7496;0.613661
521;7542;7496;0.613661
522;7548;7496;0.693703
523;7548;7496;0.693703
524;7548;7496;0.693703
525;7543;7496;0.627001
526;7548;7496;0.693703
527;7542;7496;0.613661
528;7542;7496;0.613661
529;7543;7496;0.627001
530;7543;7496;0.627001
531;7548;7496;0.693703
532;7548;7496;0.693703
533;7548;7496;0.693703
534;7548;7496;0.693703
535;7548;7496;0.693703
536;7543;7496;0.627001
537;7543;7496;0.627001
538;7542;7496;0.613661
539;7542;7496;0.613661
540;7542;7496;0.613661
541;7553;7496;0.760406
542;7553;7496;0.760406
543;7547;7496;0.680363
544;7547;7496;0.680363
545;7542;7496;0.613661
546;7542;7496;0.613661
547;7542;7496;0.613661
548;7542;7496;0.613661
549;7543;7496;0.627001
550;7543;7496;0.627001
551;7543;7496;0.627001
552;7542;7496;0.613661
553;7542;7496;0.613661
554;7543;7496;0.627001
555;7543;7496;0.627001
556;7543;7496;0.627001
557;7543;7496;0.627001
558;7543;7496;0.627001
559;7543;7496;0.627001
560;7543;7496;0.627001
561;7548;7496;0.693703
562;7543;7496;0.627001
563;7543;7496;0.627001
564;7542;7496;0.613661
565;7542;7496;0.613661
